"","fips","SCC","Pollutant","Emissions","type","year"
"114288","24510","10100601","PM25-PRI",6.532,"POINT",1999
"114296","24510","10200601","PM25-PRI",78.88,"POINT",1999
"114300","24510","10200602","PM25-PRI",0.92,"POINT",1999
"114308","24510","30100699","PM25-PRI",10.376,"POINT",1999
"114325","24510","30183001","PM25-PRI",10.859,"POINT",1999
"114329","24510","30201599","PM25-PRI",83.025,"POINT",1999
"114331","24510","30201651","PM25-PRI",6.29,"POINT",1999
"114343","24510","30500401","PM25-PRI",28.828,"POINT",1999
"114347","24510","30500402","PM25-PRI",24.736,"POINT",1999
"114351","24510","30500499","PM25-PRI",40.59,"POINT",1999
"114361","24510","30509203","PM25-PRI",0.232,"POINT",1999
"114364","24510","30509204","PM25-PRI",3.29,"POINT",1999
"114408","24510","50400201","PM25-PRI",2.237,"POINT",1999
"114412","24510","2102004000","PM25-PRI",7.194,"NONPOINT",1999
"114416","24510","2102005000","PM25-PRI",55.39,"NONPOINT",1999
"114420","24510","2103002000","PM25-PRI",1.029,"NONPOINT",1999
"114424","24510","2103004000","PM25-PRI",37.42,"NONPOINT",1999
"114428","24510","2103005000","PM25-PRI",5.213,"NONPOINT",1999
"114432","24510","2103006000","PM25-PRI",241.16,"NONPOINT",1999
"114436","24510","2103007000","PM25-PRI",2.437,"NONPOINT",1999
"114440","24510","2103011000","PM25-PRI",0.792,"NONPOINT",1999
"114444","24510","2104001000","PM25-PRI",0.223,"NONPOINT",1999
"114448","24510","2104002000","PM25-PRI",1.208,"NONPOINT",1999
"114452","24510","2104004000","PM25-PRI",36.81,"NONPOINT",1999
"114456","24510","2104006000","PM25-PRI",62.374,"NONPOINT",1999
"114460","24510","2104007000","PM25-PRI",3.09,"NONPOINT",1999
"114464","24510","2104008000","PM25-PRI",102.31,"NONPOINT",1999
"114468","24510","2104011000","PM25-PRI",4.101,"NONPOINT",1999
"114470","24510","220100123B","PM25-PRI",7.38,"ON-ROAD",1999
"114472","24510","220100123T","PM25-PRI",2.78,"ON-ROAD",1999
"114477","24510","220100123X","PM25-PRI",11.76,"ON-ROAD",1999
"114479","24510","220100125B","PM25-PRI",3.5,"ON-ROAD",1999
"114481","24510","220100125T","PM25-PRI",1.32,"ON-ROAD",1999
"114486","24510","220100125X","PM25-PRI",5.58,"ON-ROAD",1999
"114488","24510","220100127B","PM25-PRI",4.43,"ON-ROAD",1999
"114490","24510","220100127T","PM25-PRI",1.67,"ON-ROAD",1999
"114495","24510","220100127X","PM25-PRI",8.41,"ON-ROAD",1999
"114497","24510","220100129B","PM25-PRI",3.66,"ON-ROAD",1999
"114499","24510","220100129T","PM25-PRI",1.38,"ON-ROAD",1999
"114504","24510","220100129X","PM25-PRI",6.94,"ON-ROAD",1999
"114506","24510","220100131B","PM25-PRI",1.64,"ON-ROAD",1999
"114508","24510","220100131T","PM25-PRI",0.62,"ON-ROAD",1999
"114513","24510","220100131X","PM25-PRI",3.11,"ON-ROAD",1999
