"fips","SCC","Pollutant","Emissions","type","year"
"24510","220100123B","PM25-PRI",7.38,"ON-ROAD",1999
"24510","220100123T","PM25-PRI",2.78,"ON-ROAD",1999
"24510","220100123X","PM25-PRI",11.76,"ON-ROAD",1999
"24510","220100125B","PM25-PRI",3.5,"ON-ROAD",1999
"24510","220100125T","PM25-PRI",1.32,"ON-ROAD",1999
"24510","220100125X","PM25-PRI",5.58,"ON-ROAD",1999
"24510","220100127B","PM25-PRI",4.43,"ON-ROAD",1999
"24510","220100127T","PM25-PRI",1.67,"ON-ROAD",1999
"24510","220100127X","PM25-PRI",8.41,"ON-ROAD",1999
"24510","220100129B","PM25-PRI",3.66,"ON-ROAD",1999
"24510","220100129T","PM25-PRI",1.38,"ON-ROAD",1999
"24510","220100129X","PM25-PRI",6.94,"ON-ROAD",1999
"24510","220100131B","PM25-PRI",1.64,"ON-ROAD",1999
"24510","220100131T","PM25-PRI",0.62,"ON-ROAD",1999
"24510","220100131X","PM25-PRI",3.11,"ON-ROAD",1999
"24510","220100133B","PM25-PRI",1.53,"ON-ROAD",1999
"24510","220100133T","PM25-PRI",0.58,"ON-ROAD",1999
"24510","220100133X","PM25-PRI",2.89,"ON-ROAD",1999
"24510","220102023B","PM25-PRI",2.77,"ON-ROAD",1999
"24510","220102023T","PM25-PRI",1.05,"ON-ROAD",1999
"24510","220102023X","PM25-PRI",5.96,"ON-ROAD",1999
"24510","220102025B","PM25-PRI",1.32,"ON-ROAD",1999
"24510","220102025T","PM25-PRI",0.5,"ON-ROAD",1999
"24510","220102025X","PM25-PRI",2.83,"ON-ROAD",1999
"24510","220102027B","PM25-PRI",1.67,"ON-ROAD",1999
"24510","220102027T","PM25-PRI",0.63,"ON-ROAD",1999
"24510","220102027X","PM25-PRI",3.77,"ON-ROAD",1999
"24510","220102029B","PM25-PRI",1.38,"ON-ROAD",1999
"24510","220102029T","PM25-PRI",0.52,"ON-ROAD",1999
"24510","220102029X","PM25-PRI",3.11,"ON-ROAD",1999
"24510","220102031B","PM25-PRI",0.62,"ON-ROAD",1999
"24510","220102031T","PM25-PRI",0.23,"ON-ROAD",1999
"24510","220102031X","PM25-PRI",1.4,"ON-ROAD",1999
"24510","220102033B","PM25-PRI",0.57,"ON-ROAD",1999
"24510","220102033T","PM25-PRI",0.22,"ON-ROAD",1999
"24510","220102033X","PM25-PRI",1.3,"ON-ROAD",1999
"24510","220104023B","PM25-PRI",0.95,"ON-ROAD",1999
"24510","220104023T","PM25-PRI",0.36,"ON-ROAD",1999
"24510","220104023X","PM25-PRI",3.43,"ON-ROAD",1999
"24510","220104025B","PM25-PRI",0.45,"ON-ROAD",1999
"24510","220104025T","PM25-PRI",0.17,"ON-ROAD",1999
"24510","220104025X","PM25-PRI",1.63,"ON-ROAD",1999
"24510","220104027B","PM25-PRI",0.57,"ON-ROAD",1999
"24510","220104027T","PM25-PRI",0.22,"ON-ROAD",1999
"24510","220104027X","PM25-PRI",2.11,"ON-ROAD",1999
"24510","220104029B","PM25-PRI",0.47,"ON-ROAD",1999
"24510","220104029T","PM25-PRI",0.18,"ON-ROAD",1999
