"fips","SCC","Pollutant","Emissions","type","year"
"09011","10100217","PM25-PRI",479.907,"POINT",1999
"23001","2102001000","PM25-PRI",0.054,"NONPOINT",1999
"23001","2103002000","PM25-PRI",0.231,"NONPOINT",1999
"23003","2102001000","PM25-PRI",0.032,"NONPOINT",1999
"23003","2103002000","PM25-PRI",0.194,"NONPOINT",1999
"23005","10200202","PM25-PRI",0.119,"POINT",1999
"23005","2102001000","PM25-PRI",0.065,"NONPOINT",1999
"23005","2103002000","PM25-PRI",0.531,"NONPOINT",1999
"23007","2102001000","PM25-PRI",0.01,"NONPOINT",1999
"23007","2103002000","PM25-PRI",0.06,"NONPOINT",1999
"23009","10200219","PM25-PRI",3.419,"POINT",1999
"23009","2102001000","PM25-PRI",0.003,"NONPOINT",1999
"23009","2103002000","PM25-PRI",0.1,"NONPOINT",1999
"23011","2102001000","PM25-PRI",0.003,"NONPOINT",1999
"23011","2103002000","PM25-PRI",0.247,"NONPOINT",1999
"23013","2102001000","PM25-PRI",0.011,"NONPOINT",1999
"23013","2103002000","PM25-PRI",0.14,"NONPOINT",1999
"23015","2103002000","PM25-PRI",0.06,"NONPOINT",1999
"23017","10200219","PM25-PRI",11.242,"POINT",1999
"23017","2102001000","PM25-PRI",0.011,"NONPOINT",1999
"23017","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"23019","2102001000","PM25-PRI",0.043,"NONPOINT",1999
"23019","2103002000","PM25-PRI",0.314,"NONPOINT",1999
"23021","2102001000","PM25-PRI",0.011,"NONPOINT",1999
"23021","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"23023","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"23025","2102001000","PM25-PRI",0.022,"NONPOINT",1999
"23025","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"23027","2102001000","PM25-PRI",0.011,"NONPOINT",1999
"23027","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"23029","2102001000","PM25-PRI",0.011,"NONPOINT",1999
"23029","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"23031","2102001000","PM25-PRI",0.043,"NONPOINT",1999
"23031","2103002000","PM25-PRI",0.364,"NONPOINT",1999
"25001","2102001000","PM25-PRI",0.035,"NONPOINT",1999
"25001","2102002000","PM25-PRI",0.097,"NONPOINT",1999
"25001","2103001000","PM25-PRI",0.061,"NONPOINT",1999
"25001","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"25003","2102001000","PM25-PRI",0.027,"NONPOINT",1999
"25003","2102002000","PM25-PRI",0.653,"NONPOINT",1999
"25003","2103001000","PM25-PRI",0.044,"NONPOINT",1999
"25003","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"25005","10100202","PM25-PRI",1012.027,"POINT",1999
"25005","10100212","PM25-PRI",1050.52,"POINT",1999
"25005","2102001000","PM25-PRI",0.021,"NONPOINT",1999
"25005","2102002000","PM25-PRI",0.263,"NONPOINT",1999
"25005","2103001000","PM25-PRI",0.175,"NONPOINT",1999
"25005","2103002000","PM25-PRI",0.084,"NONPOINT",1999
"25007","2102001000","PM25-PRI",0.003,"NONPOINT",1999
"25007","2102002000","PM25-PRI",10.23,"NONPOINT",1999
"25007","2103001000","PM25-PRI",0.018,"NONPOINT",1999
"25009","10100202","PM25-PRI",511.399,"POINT",1999
"25009","2102001000","PM25-PRI",0.035,"NONPOINT",1999
"25009","2102002000","PM25-PRI",0.342,"NONPOINT",1999
"25009","2103001000","PM25-PRI",0.233,"NONPOINT",1999
"25009","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"25011","2102001000","PM25-PRI",0.012,"NONPOINT",1999
"25011","2102002000","PM25-PRI",60.003,"NONPOINT",1999
"25011","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"25011","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"25013","10100202","PM25-PRI",365.352,"POINT",1999
"25013","10200204","PM25-PRI",0.002,"POINT",1999
"25013","2102001000","PM25-PRI",0.02,"NONPOINT",1999
"25013","2102002000","PM25-PRI",0.241,"NONPOINT",1999
"25013","2103001000","PM25-PRI",0.168,"NONPOINT",1999
"25013","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"25015","2102001000","PM25-PRI",0.027,"NONPOINT",1999
"25015","2102002000","PM25-PRI",0.185,"NONPOINT",1999
"25015","2103001000","PM25-PRI",0.045,"NONPOINT",1999
"25015","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"25017","2102001000","PM25-PRI",0.06,"NONPOINT",1999
"25017","2102002000","PM25-PRI",0.717,"NONPOINT",1999
"25017","2103001000","PM25-PRI",0.486,"NONPOINT",1999
"25017","2103002000","PM25-PRI",0.231,"NONPOINT",1999
"25019","2102002000","PM25-PRI",5.398,"NONPOINT",1999
"25019","2103001000","PM25-PRI",0.009,"NONPOINT",1999
"25021","2102001000","PM25-PRI",0.023,"NONPOINT",1999
"25021","2102002000","PM25-PRI",0.313,"NONPOINT",1999
"25021","2103001000","PM25-PRI",0.214,"NONPOINT",1999
"25021","2103002000","PM25-PRI",0.1,"NONPOINT",1999
"25023","2102001000","PM25-PRI",0.019,"NONPOINT",1999
"25023","2102002000","PM25-PRI",0.228,"NONPOINT",1999
"25023","2103001000","PM25-PRI",0.153,"NONPOINT",1999
"25023","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"25025","2102001000","PM25-PRI",0.034,"NONPOINT",1999
"25025","2102002000","PM25-PRI",0.341,"NONPOINT",1999
"25025","2103001000","PM25-PRI",0.232,"NONPOINT",1999
"25025","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"25027","2102001000","PM25-PRI",0.035,"NONPOINT",1999
"25027","2102002000","PM25-PRI",0.367,"NONPOINT",1999
"25027","2103001000","PM25-PRI",0.25,"NONPOINT",1999
"25027","2103002000","PM25-PRI",0.114,"NONPOINT",1999
"10001","10200219","PM25-PRI",6.414,"POINT",1999
"10001","2102002000","PM25-PRI",1.527,"NONPOINT",1999
"10001","2103001000","PM25-PRI",0.119,"NONPOINT",1999
"10001","2103002000","PM25-PRI",11.648,"NONPOINT",1999
"10003","10100212","PM25-PRI",140.463,"POINT",1999
"10003","2102002000","PM25-PRI",3.173,"NONPOINT",1999
"10003","2103001000","PM25-PRI",0.767,"NONPOINT",1999
"10003","2103002000","PM25-PRI",69.895,"NONPOINT",1999
"10005","10100202","PM25-PRI",986.659,"POINT",1999
"10005","10200202","PM25-PRI",3.293,"POINT",1999
"10005","2102002000","PM25-PRI",0.627,"NONPOINT",1999
"10005","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"10005","2103002000","PM25-PRI",10.448,"NONPOINT",1999
"11001","10300209","PM25-PRI",121.602,"POINT",1999
"11001","2102002000","PM25-PRI",0.03,"NONPOINT",1999
"11001","2103002000","PM25-PRI",8.804,"NONPOINT",1999
"24001","10200203","PM25-PRI",176.23,"POINT",1999
"24001","10200212","PM25-PRI",97.261,"POINT",1999
"24001","2103002000","PM25-PRI",1629.523,"NONPOINT",1999
"24003","10100201","PM25-PRI",327.364,"POINT",1999
