"fips","SCC","Pollutant","Emissions","type","year"
"06037","10100501","PM25-PRI",0.031,"POINT",1999
"06037","10100601","PM25-PRI",382.523,"POINT",1999
"06037","10100602","PM25-PRI",3.532,"POINT",1999
"06037","10100701","PM25-PRI",4.289,"POINT",1999
"06037","10101202","PM25-PRI",1.139,"POINT",1999
"06037","10200501","PM25-PRI",0.11,"POINT",1999
"06037","10200601","PM25-PRI",48.96,"POINT",1999
"06037","10200602","PM25-PRI",149.68,"POINT",1999
"06037","10200603","PM25-PRI",98.64,"POINT",1999
"06037","10200701","PM25-PRI",10.593,"POINT",1999
"06037","10201002","PM25-PRI",1.721,"POINT",1999
"06037","10300501","PM25-PRI",0.116,"POINT",1999
"06037","10300601","PM25-PRI",11.08,"POINT",1999
"06037","10300602","PM25-PRI",45.4,"POINT",1999
"06037","10300603","PM25-PRI",57.16,"POINT",1999
"06037","10300701","PM25-PRI",3.534,"POINT",1999
"06037","10300799","PM25-PRI",21.594,"POINT",1999
"06037","20100101","PM25-PRI",0.022,"POINT",1999
"06037","20100102","PM25-PRI",70.017,"POINT",1999
"06037","20100201","PM25-PRI",68.172,"POINT",1999
"06037","20100202","PM25-PRI",26.012,"POINT",1999
"06037","20100801","PM25-PRI",25.809,"POINT",1999
"06037","20100802","PM25-PRI",0.55,"POINT",1999
"06037","20100901","PM25-PRI",0.01,"POINT",1999
"06037","20200101","PM25-PRI",0.068,"POINT",1999
"06037","20200102","PM25-PRI",52.906,"POINT",1999
"06037","20200201","PM25-PRI",18.606,"POINT",1999
"06037","20200202","PM25-PRI",0.03,"POINT",1999
"06037","20200203","PM25-PRI",139.933,"POINT",1999
"06037","20200204","PM25-PRI",0.026,"POINT",1999
"06037","20200301","PM25-PRI",1.256,"POINT",1999
"06037","20200701","PM25-PRI",45.817,"POINT",1999
"06037","20201001","PM25-PRI",2.067,"POINT",1999
"06037","20300101","PM25-PRI",29.52,"POINT",1999
"06037","20300102","PM25-PRI",0.125,"POINT",1999
"06037","20300201","PM25-PRI",0.426,"POINT",1999
"06037","20300202","PM25-PRI",23.978,"POINT",1999
"06037","20300301","PM25-PRI",0.838,"POINT",1999
"06037","20300702","PM25-PRI",2.54,"POINT",1999
"06037","20301001","PM25-PRI",0.128,"POINT",1999
"06037","20400301","PM25-PRI",0.086,"POINT",1999
"06037","20400401","PM25-PRI",0.071,"POINT",1999
"06037","20400402","PM25-PRI",1.703,"POINT",1999
"06037","30101401","PM25-PRI",17.503,"POINT",1999
"06037","30101402","PM25-PRI",0.021,"POINT",1999
"06037","30101460","PM25-PRI",0.167,"POINT",1999
"06037","30101892","PM25-PRI",7.132,"POINT",1999
"06037","30102201","PM25-PRI",10.311,"POINT",1999
"06037","30103399","PM25-PRI",0.305,"POINT",1999
"06037","30183001","PM25-PRI",9.793,"POINT",1999
"06037","30188801","PM25-PRI",1.1,"POINT",1999
"06037","30190003","PM25-PRI",105.44,"POINT",1999
"06037","30190013","PM25-PRI",0.192,"POINT",1999
"06037","30190099","PM25-PRI",0.026,"POINT",1999
"06037","30200506","PM25-PRI",11.701,"POINT",1999
"06037","30201206","PM25-PRI",0.016,"POINT",1999
"06037","30201311","PM25-PRI",65.775,"POINT",1999
"06037","30288801","PM25-PRI",3.523,"POINT",1999
"06037","30290003","PM25-PRI",4.756,"POINT",1999
"06037","30300901","PM25-PRI",41.231,"POINT",1999
"06037","30388802","PM25-PRI",2.105,"POINT",1999
