"fips","SCC","Pollutant","Emissions","type","year"
"06037","2201001110","PM25-PRI",4.93,"ON-ROAD",1999
"06037","2201001130","PM25-PRI",8.22,"ON-ROAD",1999
"06037","2201001150","PM25-PRI",4.7,"ON-ROAD",1999
"06037","2201001170","PM25-PRI",4.62,"ON-ROAD",1999
"06037","2201001190","PM25-PRI",1.98,"ON-ROAD",1999
"06037","2201001210","PM25-PRI",1.71,"ON-ROAD",1999
"06037","2201001230","PM25-PRI",358.43,"ON-ROAD",1999
"06037","2201001250","PM25-PRI",209.69,"ON-ROAD",1999
"06037","2201001270","PM25-PRI",333.98,"ON-ROAD",1999
"06037","2201001290","PM25-PRI",231.79,"ON-ROAD",1999
"06037","2201001310","PM25-PRI",54.81,"ON-ROAD",1999
"06037","2201001330","PM25-PRI",106.01,"ON-ROAD",1999
"06037","2201020110","PM25-PRI",2.96,"ON-ROAD",1999
"06037","2201020130","PM25-PRI",4.94,"ON-ROAD",1999
"06037","2201020150","PM25-PRI",2.83,"ON-ROAD",1999
"06037","2201020170","PM25-PRI",2.78,"ON-ROAD",1999
"06037","2201020190","PM25-PRI",1.19,"ON-ROAD",1999
"06037","2201020210","PM25-PRI",1.03,"ON-ROAD",1999
"06037","2201020230","PM25-PRI",199.89,"ON-ROAD",1999
"06037","2201020250","PM25-PRI",116.94,"ON-ROAD",1999
"06037","2201020270","PM25-PRI",186.26,"ON-ROAD",1999
"06037","2201020290","PM25-PRI",129.26,"ON-ROAD",1999
"06037","2201020310","PM25-PRI",30.57,"ON-ROAD",1999
"06037","2201020330","PM25-PRI",59.12,"ON-ROAD",1999
"06037","2201040110","PM25-PRI",0.75,"ON-ROAD",1999
"06037","2201040130","PM25-PRI",1.26,"ON-ROAD",1999
"06037","2201040150","PM25-PRI",0.72,"ON-ROAD",1999
"06037","2201040170","PM25-PRI",0.71,"ON-ROAD",1999
"06037","2201040190","PM25-PRI",0.3,"ON-ROAD",1999
"06037","2201040210","PM25-PRI",0.26,"ON-ROAD",1999
"06037","2201040230","PM25-PRI",50.93,"ON-ROAD",1999
"06037","2201040250","PM25-PRI",29.8,"ON-ROAD",1999
"06037","2201040270","PM25-PRI",47.46,"ON-ROAD",1999
"06037","2201040290","PM25-PRI",32.94,"ON-ROAD",1999
"06037","2201040310","PM25-PRI",7.79,"ON-ROAD",1999
"06037","2201040330","PM25-PRI",15.06,"ON-ROAD",1999
"06037","2201070110","PM25-PRI",0.18,"ON-ROAD",1999
"06037","2201070130","PM25-PRI",0.29,"ON-ROAD",1999
